image_id,x,y,width,height
243,22,45,225,373
244,1,14,295,224
245,25,39,247,460
246,124,116,235,245
247,39,59,175,212
248,32,43,138,128
249,130,59,176,400
250,31,9,139,255
251,156,54,236,423
252,11,8,201,302
253,113,15,217,312
254,5,25,308,459
255,45,23,256,447
256,10,69,220,299
257,34,141,251,331
258,114,75,143,338
259,53,62,142,280
260,84,101,117,251
261,30,132,176,234
262,98,57,122,286
263,60,54,226,264
264,252,54,111,211
265,118,9,271,466
266,58,50,128,191
267,209,22,196,128
268,317,96,129,269
269,52,63,295,424
270,60,66,263,396
271,236,125,147,113
272,0,0,500,375
273,189,235,105,143
274,78,73,108,120
275,130,145,146,117
276,177,146,186,173
277,133,20,309,355
278,38,17,388,359
279,6,6,277,422
280,177,27,177,387
281,10,157,183,274
282,120,82,121,143
283,82,22,387,362
284,90,125,180,313
285,205,94,193,212
286,144,31,192,333
287,59,34,281,450
288,89,52,136,174
289,99,102,195,209
290,96,61,190,205
291,92,90,126,202
292,23,78,254,326
293,28,133,167,278
294,5,4,131,149
295,157,50,186,292
296,54,118,195,297
297,57,90,300,313
298,42,36,204,338
299,81,107,192,329
300,103,89,107,143
301,74,89,104,152
302,95,111,227,310
303,62,65,146,240
304,69,59,203,220
305,120,37,205,262
306,24,21,241,417
307,75,58,268,222
308,52,35,373,371
309,56,54,135,240
310,14,8,179,207
311,120,120,203,101
312,116,95,272,222
313,80,82,151,162
314,109,94,164,212
315,31,107,170,218
316,1,106,192,296
317,95,69,161,130
318,17,25,178,237
319,175,217,157,179
320,122,70,228,261
321,85,87,147,232
322,134,74,132,162
323,21,10,389,461
324,71,77,268,344
325,138,55,338,259
326,56,89,189,373
327,13,42,349,312
328,106,92,197,288
329,194,139,111,245
330,71,66,146,228
331,117,45,106,188
332,40,22,113,151
333,66,87,205,278
334,68,133,276,301
335,138,73,291,312
336,145,94,124,163
337,126,147,169,245
338,162,11,174,364
339,120,172,183,278
340,88,96,222,385
341,185,6,158,317
342,105,96,247,318
343,94,92,225,340
344,112,31,162,278
345,50,164,189,279
346,149,64,280,270
347,48,107,213,319
348,92,39,191,200
349,123,32,364,276
350,81,141,173,346
351,218,48,226,237
352,50,81,149,213
353,169,89,229,240
354,61,83,236,141
355,60,49,176,142
356,33,72,362,239
357,164,84,178,228
358,90,100,225,314
359,65,47,191,116
360,248,170,141,226
361,114,92,229,326
362,78,61,411,279
363,185,49,232,272
364,81,62,189,412
365,142,111,198,327
366,90,57,224,417
367,9,40,109,129
368,0,22,197,261
369,48,82,234,309
370,123,30,259,347
371,47,76,181,249
372,49,155,230,244
373,9,12,154,137
374,86,90,168,355
375,73,67,177,401
376,178,129,135,155
377,28,72,438,167
378,172,148,217,135
379,0,10,495,312
380,0,6,360,386
381,3,78,465,254
382,30,112,357,177
383,76,61,161,102
384,202,67,209,296
385,160,87,115,103
386,49,19,174,105
387,90,98,210,311
388,69,60,356,252
389,127,108,234,115
390,54,99,297,116
391,126,82,161,132
392,46,38,299,157
393,52,75,171,177
394,14,34,370,188
395,87,7,366,261
396,105,54,304,166
397,48,61,369,283
398,77,77,233,110
399,127,92,174,153
400,25,43,251,165
401,23,47,329,174
402,88,37,231,191
403,8,18,289,260
404,96,79,313,112
405,51,27,138,110
406,71,84,410,326
407,86,42,277,183
408,33,168,247,102
409,56,71,146,175
410,72,35,133,105
411,20,20,132,105
412,19,36,356,301
413,40,31,155,109
414,13,107,330,146
415,59,15,266,175
416,31,119,248,166
417,145,103,222,189
418,161,82,165,149
419,109,72,270,233
420,146,96,285,149
421,54,75,304,229
422,227,130,188,102
423,4,29,495,470
424,157,111,106,100
425,107,34,390,282
426,7,122,296,364
427,90,77,192,313
428,77,41,245,285
429,90,119,181,310
430,104,120,199,158
431,76,77,293,275
432,73,72,410,192
433,117,48,324,205
434,102,104,327,180
435,201,114,236,191
436,192,181,296,171
437,42,37,341,221
438,71,144,189,319
439,85,137,290,193
440,166,53,211,249
441,153,77,257,251
442,101,95,243,192
443,64,27,328,211
444,50,42,222,319
445,212,111,164,124
446,271,32,124,453
447,161,41,175,374
448,47,26,377,267
449,214,98,228,266
450,103,83,186,155
451,9,104,321,172
452,128,38,251,270
453,101,63,233,187
454,76,25,153,151
455,204,14,283,267
456,202,143,140,153
457,149,48,277,187
458,159,72,291,170
459,96,114,291,155
460,144,88,264,189
461,16,80,417,254
462,28,34,417,318
463,56,83,277,321
464,140,53,191,261
465,48,86,126,104
466,134,126,207,270
467,242,71,207,174
468,74,112,237,239
469,117,86,368,197
470,147,29,293,280
471,54,33,232,322
472,35,18,373,332
473,9,16,488,339
474,3,43,384,384
475,73,112,190,300
476,62,33,437,341
477,58,48,291,395
478,65,224,323,238
479,214,42,222,290
480,218,82,234,294
481,21,43,405,328
482,82,52,326,376
483,95,73,282,320
484,187,129,131,226
485,130,124,351,205
486,138,137,126,260
487,110,144,171,156
488,218,39,205,360
489,75,74,255,190
490,208,180,100,108
491,147,39,137,277
492,141,148,173,174
493,204,101,180,122
494,21,178,290,145
495,88,101,234,182
496,112,143,218,219
497,77,95,155,222
498,39,128,295,188
499,159,90,109,139
500,121,103,354,191
501,74,15,425,316
502,15,90,366,204
503,142,68,332,212
504,82,60,282,211
505,52,142,251,202
506,4,67,457,260
507,149,137,210,201
508,136,97,150,170
509,142,49,356,242
510,72,53,415,182
511,116,81,256,193
512,60,68,265,367
513,115,106,185,338
514,82,92,317,365
515,108,39,124,173
516,2,58,477,258
517,200,75,219,242
518,36,97,296,328
519,41,28,438,274
520,156,45,168,251
521,25,56,356,402
522,53,158,253,186
523,63,106,242,307
524,108,54,349,280
525,189,139,223,186
526,85,151,160,205
527,237,137,196,223
528,184,93,234,167
529,104,78,267,268
530,29,98,398,221
531,94,115,253,122
532,75,84,294,221
533,228,137,194,225
534,255,125,158,116
535,103,83,185,409
536,193,129,153,150
537,50,146,152,102
538,95,145,194,228
539,170,97,191,224
540,141,84,259,228
541,17,24,457,450
542,145,88,304,195
543,133,61,255,215
544,139,91,174,326
545,113,79,327,173
546,75,123,283,222
547,63,90,344,311
548,50,65,179,185
549,10,10,465,313
550,161,126,226,140
551,144,80,255,177
552,73,11,404,274
553,161,43,187,317
554,6,8,465,402
555,121,72,297,235
556,133,100,316,156
557,72,71,418,415
558,139,60,339,248
559,85,115,282,146
560,106,43,265,252
561,113,99,326,267
562,95,64,270,238
563,145,165,121,127
564,88,37,227,114
565,94,91,258,358
566,174,25,274,302
567,80,165,178,107
568,56,50,400,155
569,41,77,287,216
570,2,46,436,327
571,22,151,369,178
572,83,141,259,178
573,24,57,460,256
574,58,94,307,212
575,29,42,325,218
576,188,92,120,218
577,88,39,305,279
578,61,134,226,155
579,137,105,173,166
580,114,91,253,216
581,93,83,379,318
582,81,121,258,298
583,140,65,273,230
584,88,121,229,144
585,160,106,127,143
586,96,64,294,394
587,32,110,249,265
588,161,65,237,281
589,86,148,324,152
590,88,56,168,136
591,177,175,158,166
592,151,98,160,223
593,210,120,156,149
594,102,49,147,133
595,87,68,195,156
596,195,92,207,138
597,181,156,184,109
598,127,142,366,182
599,84,26,238,148
600,152,136,287,200
601,118,117,179,196
602,138,106,281,124
603,140,14,334,172
604,189,112,151,121
605,66,95,327,224
606,120,202,152,250
607,115,102,285,315
608,183,88,123,181
609,142,176,100,226
610,140,94,113,255
611,127,93,145,291
612,71,96,191,162
613,53,42,371,166
614,22,28,458,291
615,152,64,124,182
616,202,47,212,246
617,37,110,269,334
618,114,32,131,177
619,18,84,271,316
620,100,117,210,122
621,171,117,109,163
622,195,125,164,174
623,136,110,182,213
624,131,136,210,315
625,166,163,170,311
626,129,140,204,188
627,156,106,157,166
628,135,110,163,135
629,210,150,158,135
630,54,97,281,182
631,140,83,164,205
632,106,176,120,114
633,148,104,139,369
634,153,89,201,223
635,190,80,188,219
636,136,84,140,255
637,170,20,121,300
638,228,48,219,257
639,196,94,160,201
640,151,99,179,175
641,111,120,179,157
642,104,107,184,285
643,116,57,332,333
644,161,75,161,184
645,183,69,141,332
646,98,102,270,178
647,72,104,285,350
648,117,88,195,213
649,102,77,198,198
650,42,111,267,161
651,1,128,338,171
652,165,153,309,235
653,124,89,157,216
654,136,247,244,187
655,109,110,292,315
656,1,100,299,276
657,152,56,259,301
658,180,89,261,235
659,116,123,174,189
660,104,61,324,194
661,48,73,182,162
662,207,94,156,171
663,88,77,263,270
664,139,89,157,152
665,126,121,225,289
666,96,119,156,163
667,69,113,311,157
668,145,63,258,256
669,192,70,190,211
670,83,29,270,332
671,94,41,180,289
672,99,125,194,291
673,161,93,123,121
674,295,111,130,183
675,167,107,128,152
676,84,228,139,157
677,171,127,144,212
678,5,71,235,258
679,171,117,100,102
680,76,115,217,307
681,149,136,168,167
682,178,80,182,131
683,248,65,133,151
684,77,98,230,357
685,239,111,154,107
686,81,115,154,152
687,65,121,134,120
688,87,85,222,336
689,207,60,142,152
690,8,36,369,421
691,165,117,181,203
692,56,201,181,185
693,96,121,206,227
694,83,28,226,286
695,141,37,180,268
696,53,130,124,266
697,71,89,313,261
698,144,133,157,141
699,19,47,264,206
700,50,78,244,193
701,117,95,149,186
702,84,68,370,232
703,32,132,252,293
704,146,66,200,346
705,208,114,271,217
706,92,91,220,364
707,141,61,275,284
708,58,93,132,158
709,33,14,451,482
710,37,71,197,210
711,169,74,164,159
712,289,126,123,147
713,93,76,194,196
714,18,79,284,377
715,123,85,348,242
716,90,59,228,273
717,66,38,208,222
718,121,141,211,166
719,15,95,304,321
720,90,57,187,315
721,194,19,102,263
722,45,65,238,294
723,61,25,297,224
724,161,34,203,276
725,38,90,201,259
726,140,84,158,314
727,278,159,214,126
728,127,87,161,151
729,105,24,338,295
730,129,22,236,291
731,77,170,183,176
732,36,112,356,173
733,49,79,392,254
734,114,82,169,152
735,86,141,172,178
736,0,46,488,302
737,208,112,120,116
738,228,47,220,122
739,85,141,111,256
740,194,214,118,223
741,71,120,312,289
742,150,145,239,239
743,257,61,134,237
744,18,18,481,309
745,165,139,133,125
746,82,223,117,110
747,102,128,190,196
748,41,87,184,412
749,108,133,193,259
750,128,56,124,243
751,301,64,175,166
752,14,78,316,223
753,213,74,111,258
754,187,108,148,210
755,218,273,189,101
756,153,95,188,168
757,58,70,216,306
758,118,131,196,155
759,128,107,249,155
760,54,118,227,291
761,119,93,152,223
762,119,78,144,137
763,91,149,219,174
764,86,145,206,161
765,109,37,307,277
766,127,117,154,243
767,51,62,307,263
768,274,25,204,208
769,120,150,127,168
770,142,90,215,196
771,95,121,117,121
772,89,110,142,195
773,52,147,260,200
774,145,75,181,161
775,7,105,431,288
776,102,145,183,140
777,66,84,315,136
778,88,72,346,256
779,174,52,309,226
780,51,77,312,226
781,199,95,194,231
782,61,68,178,192
783,139,123,190,249
784,29,47,229,177
785,37,151,287,210
786,184,27,169,176
787,112,93,250,331
788,27,58,222,243
789,216,159,147,266
790,71,89,282,148
791,69,87,300,179
792,215,51,108,268
793,138,100,267,369
794,76,153,190,305
795,157,239,140,147
796,222,86,151,107
797,139,178,168,171
798,180,120,158,251
799,120,155,174,139
800,69,191,136,250
801,265,93,197,164
802,179,182,190,177
803,50,132,330,244
804,45,154,123,226
805,143,187,137,254
806,213,94,189,253
807,122,96,131,199
808,162,40,122,227
809,243,87,180,145
810,213,117,106,167
811,38,82,179,300
812,88,135,169,257
813,118,126,224,281
814,115,170,108,222
815,161,88,257,132
816,99,176,152,224
817,174,72,143,190
818,106,178,132,186
819,164,120,234,212
820,101,95,222,231
821,136,90,100,244
822,52,72,218,322
823,173,90,195,281
824,175,176,159,136
825,249,138,145,115
826,26,69,388,171
827,113,105,341,233
828,116,153,218,162
829,211,125,227,146
830,78,140,214,117
831,59,57,434,396
832,1,38,439,335
833,156,116,158,208
834,125,98,209,156
835,172,52,184,213
836,111,16,249,302
837,130,122,307,327
838,28,72,339,208
839,87,47,378,246
840,124,163,211,203
841,14,179,193,154
842,83,91,310,193
843,32,97,207,343
844,119,101,255,166
845,95,100,251,213
846,57,197,114,140
847,113,86,378,217
848,29,60,403,253
849,208,169,108,124
850,142,105,223,199
851,207,90,106,138
852,88,120,227,139
853,178,79,262,202
854,101,34,387,354
855,123,190,265,250
856,47,64,399,384
857,180,93,262,143
858,205,84,289,153
859,104,40,289,346
860,28,67,372,225
861,136,66,349,161
862,30,87,278,143
863,43,52,258,340
864,55,70,334,423
865,183,124,162,106
866,58,98,314,178
867,228,116,143,177
868,68,55,388,308
869,25,64,366,222
870,197,71,119,142
871,215,119,158,249
872,291,92,108,239
873,94,242,167,191
874,137,67,175,274
875,27,42,376,406
876,111,75,193,391
877,195,46,264,321
878,98,178,152,164
879,50,58,224,210
880,158,72,174,324
881,134,134,221,330
882,119,39,295,247
883,75,38,386,277
884,105,78,207,218
885,83,93,132,293
886,89,96,286,183
887,209,79,139,244
888,168,156,102,123
889,224,114,121,158
890,179,69,160,211
891,114,25,192,251
892,73,81,241,203
893,159,78,190,210
894,94,107,154,121
895,127,198,127,125
896,198,69,234,255
897,85,17,334,345
898,118,19,354,291
899,142,49,166,307
900,113,36,311,185
901,116,169,156,173
902,167,73,194,404
903,2,28,467,389
904,219,22,270,352
905,164,99,323,297
906,65,77,316,365
907,91,118,185,276
908,131,32,309,395
909,81,151,257,115
910,56,112,293,138
911,111,90,276,157
912,4,167,186,252
913,146,22,201,477
914,67,76,161,394
915,44,109,207,257
916,125,89,374,236
917,163,74,122,226
918,120,45,370,272
919,102,58,217,414
920,226,53,196,170
921,138,115,280,194
922,112,37,231,277
923,90,67,286,244
924,111,70,204,268
925,74,41,241,328
926,89,78,383,242
927,87,68,384,277
928,67,81,215,361
929,44,84,166,139
930,111,48,349,296
931,37,90,357,177
932,91,38,396,425
933,192,31,205,283
934,69,150,225,186
935,53,97,238,264
936,98,48,260,451
937,98,1,349,357
938,98,75,401,288
939,89,52,335,401
940,81,55,287,343
941,0,73,341,355
942,159,126,157,338
943,137,54,186,357
944,293,75,141,255
945,33,50,171,205
946,33,47,282,427
947,26,32,415,251
948,75,38,203,375
949,101,80,262,419
950,93,114,316,335
951,193,114,224,198
952,106,65,157,392
953,63,35,134,271
954,67,109,222,160
955,183,32,211,317
956,25,29,135,103
957,76,113,377,242
958,121,23,241,340
959,57,40,194,147
960,27,6,148,127
961,51,69,316,327
962,122,48,218,255
963,70,42,202,246
964,87,40,322,291
965,83,55,288,222
966,206,105,119,179
967,129,87,286,156
968,140,48,259,284
969,105,55,286,234
970,13,29,276,458
971,9,54,301,424
972,27,110,242,346
973,153,71,317,242
974,56,39,217,205
975,38,18,208,236
976,4,4,142,235
977,104,22,208,190
978,100,164,103,217
979,4,60,397,268
980,44,100,253,323
981,104,8,238,320
982,1,23,307,476
983,174,61,109,277
984,55,114,320,228
985,102,72,175,170
986,198,140,100,207
987,191,40,155,291
988,53,40,243,183
989,58,51,247,157
990,43,24,222,188
991,6,10,337,305
992,15,20,383,275
993,135,79,174,186
994,43,69,330,277
995,46,41,163,270
996,66,67,268,430
997,35,29,179,218
998,86,87,201,161
999,2,69,457,311
1000,202,69,197,253
1001,75,81,310,311
1002,96,90,148,191
1003,106,62,169,409
1004,112,82,338,321
1005,63,66,197,380
1006,164,124,230,171
1007,146,107,253,152
1008,205,115,140,190
1009,184,94,258,236
1010,151,100,315,202
1011,10,26,365,317
1012,259,67,152,278
1013,213,135,250,184
1014,49,48,355,318
1015,112,76,371,254
1016,183,92,117,108
1017,15,44,465,287
1018,59,124,275,160
1019,133,60,287,257
1020,29,89,332,214
1021,63,100,408,192
1022,153,33,299,336
1023,48,54,451,251
1024,48,20,176,343
1025,65,43,366,268
1026,141,19,216,364
1027,102,87,319,326
1028,49,48,238,410
1029,10,72,430,201
1030,144,127,229,179
1031,173,72,232,203
1032,178,175,247,105
1033,91,63,288,254
1034,135,101,269,220
1035,131,68,246,205
1036,103,65,261,166
1037,179,76,129,216
1038,60,48,256,232
1039,146,130,195,308
1040,232,109,116,256
1041,62,41,176,209
1042,88,64,195,409
1043,146,98,310,312
1044,123,86,191,181
1045,66,64,368,236
1046,148,121,261,133
1047,31,6,414,426
1048,190,13,212,291
1049,86,89,195,341
1050,45,53,349,194
1051,94,86,174,190
1052,46,36,425,271
1053,85,93,377,203
1054,48,93,426,218
1055,92,70,354,194
1056,26,104,344,218
1057,169,121,270,174
1058,80,79,264,213
1059,193,142,161,144
1060,151,130,102,152
1061,142,106,166,229
1062,82,123,277,205
1063,101,121,225,106
1064,99,60,278,293
1065,158,73,236,191
1066,41,76,403,207
1067,91,106,139,303
1068,102,198,184,243
1069,214,83,191,199
1070,28,170,166,300
1071,58,65,175,382
1072,120,88,376,289
1073,40,119,385,232
1074,48,120,190,207
1075,128,36,357,296
1076,131,157,166,158
1077,179,77,185,196
1078,225,48,115,283
1079,62,100,394,232
1080,87,125,231,120
1081,131,123,173,188
1082,73,88,371,164
1083,100,160,194,129
1084,184,140,201,121
1085,127,90,223,132
1086,61,66,303,373
1087,296,93,152,138
1088,142,134,213,236
1089,44,47,195,135
1090,129,149,159,206
1091,128,92,269,180
1092,188,105,158,248
1093,73,62,309,191
1094,91,47,166,274
1095,96,66,200,392
1096,79,61,176,307
1097,129,107,346,155
1098,94,83,230,298
1099,40,191,234,262
1100,105,64,349,201
1101,23,133,282,160
1102,55,161,240,194
1103,98,94,273,198
1104,109,195,149,186
1105,132,46,171,197
1106,223,67,177,166
1107,59,107,295,392
1108,123,18,183,305
1109,25,31,217,241
1110,245,121,166,128
1111,188,74,159,237
1112,205,126,120,139
1113,243,131,135,112
1114,53,98,150,131
1115,199,95,235,221
1116,122,99,162,121
1117,155,176,280,181
1118,145,122,181,141
1119,119,121,294,337
1120,89,38,309,430
1121,26,64,220,411
1122,0,81,404,186
1123,127,92,308,242
1124,231,181,154,115
1125,127,107,132,246
1126,142,61,263,210
1127,309,113,175,162
1128,155,77,158,251
1129,74,156,160,112
1130,14,18,480,270
1131,139,104,228,270
1132,27,83,317,204
1133,78,34,322,301
1134,26,81,272,182
1135,118,121,310,149
1136,153,95,230,242
1137,100,32,337,228
1138,103,82,284,371
1139,90,90,185,237
1140,61,22,427,295
1141,161,106,313,294
1142,7,55,447,278
1143,82,230,142,112
1144,188,99,160,165
1145,128,57,304,283
1146,20,60,390,267
1147,50,28,300,322
1148,21,97,276,202
1149,55,83,333,242
1150,77,97,185,215
1151,65,87,326,188
1152,265,152,180,163
1153,31,39,247,266
1154,28,95,174,214
1155,75,69,397,212
1156,132,88,155,383
1157,91,83,132,197
1158,33,54,422,345
1159,130,132,328,220
1160,165,67,165,279
1161,90,61,261,317
1162,176,98,145,145
1163,218,95,206,182
1164,114,54,353,277
1165,88,110,212,148
1166,25,110,292,186
1167,0,15,401,359
1168,180,88,244,218
1169,154,115,192,157
1170,87,33,344,307
1171,55,21,331,470
1172,60,111,249,140
1173,82,82,286,279
1174,220,179,255,167
1175,49,73,385,322
1176,24,22,465,248
1177,29,43,358,331
1178,140,58,208,229
1179,55,111,237,133
1180,143,130,240,134
1181,44,84,385,267
1182,10,46,468,161
1183,22,49,399,266
1184,50,98,325,238
1185,23,15,333,376
1186,14,13,336,193
1187,62,46,178,172
1188,4,109,276,131
1189,60,105,256,310
1190,39,22,303,262
1191,8,12,341,233
1192,40,74,387,264
1193,2,102,455,211
1194,129,131,212,276
1195,5,9,215,137
1196,44,72,223,101
1197,11,51,345,173
1198,1,50,444,262
1199,50,10,220,232
1200,41,92,310,282
1201,118,64,381,172
1202,29,51,438,281
1203,155,101,216,222
1204,3,40,424,202
1205,163,69,301,251
1206,1,0,420,263
1207,120,72,274,181
1208,25,52,295,216
1209,37,95,441,161
1210,23,76,421,257
1211,9,14,343,274
1212,7,47,324,365
1213,54,60,445,273
1214,16,80,420,199
1215,159,51,264,239
1216,107,61,392,230
1217,1,5,340,234
1218,92,51,440,303
1219,8,12,328,297
1220,82,53,417,304
1221,31,23,447,382
1222,21,74,404,163
1223,8,25,410,307
1224,172,22,202,241
1225,67,43,358,290
1226,2,66,323,388
1227,64,81,344,241
1228,94,72,369,276
1229,1,33,479,340
1230,99,69,300,183
1231,80,55,316,252
1232,25,47,405,147
1233,123,22,210,312
1234,163,40,332,334
1235,41,80,312,298
1236,125,45,199,268
1237,240,131,202,112
1238,153,27,237,265
1239,37,84,342,148
1240,266,27,164,290
1241,68,20,431,356
1242,62,76,387,232
1243,36,28,458,272
1244,145,49,243,179
1245,90,58,175,268
1246,43,38,260,460
1247,14,20,484,220
1248,56,38,369,273
1249,184,170,267,329
1250,113,142,103,170
1251,15,95,425,254
1252,111,123,152,303
1253,160,85,311,247
1254,75,94,295,210
1255,159,63,314,271
1256,94,18,279,481
1257,165,46,178,252
1258,105,83,218,147
1259,62,43,292,175
1260,139,145,165,106
1261,128,19,152,281
1262,92,69,166,388
1263,137,43,175,416
1264,126,31,370,324
1265,59,88,146,361
1266,96,90,341,242
1267,39,42,456,220
1268,222,32,178,331
1269,91,54,407,320
1270,202,41,166,384
1271,33,110,388,264
1272,89,163,207,109
1273,4,71,441,261
1274,72,110,291,184
1275,25,68,217,373
1276,57,114,216,276
1277,165,102,271,206
1278,73,47,320,438
1279,86,86,265,215
1280,246,76,226,184
1281,0,20,356,379
1282,20,27,201,271
1283,39,2,357,349
1284,2,20,413,342
1285,68,104,140,183
1286,96,107,401,392
1287,19,50,322,171
1288,43,110,203,389
1289,141,40,131,268
1290,122,94,323,173
1291,55,29,167,354
1292,45,96,297,192
1293,91,86,193,208
1294,115,91,254,338
1295,188,132,131,239
1296,84,11,167,485
1297,179,104,168,194
1298,94,161,149,246
1299,132,70,243,411
1300,67,94,145,388
1301,135,50,204,121
1302,67,94,145,309
1303,33,32,264,200
1304,206,118,140,186
1305,157,53,126,200
1306,96,62,173,392
1307,19,79,417,231
1308,119,70,282,144
1309,71,79,262,417
1310,39,48,323,371
1311,76,18,172,313
1312,44,47,372,304
1313,68,41,203,428
1314,21,24,212,448
1315,141,53,167,398
1316,125,98,113,158
1317,190,12,116,290
1318,162,20,241,291
1319,24,124,206,225
1320,273,64,120,245
1321,64,119,170,224
1322,30,64,288,225
1323,55,8,156,338
1324,99,63,104,131
1325,46,35,292,235
1326,58,58,180,382
1327,108,74,126,249
1328,78,78,304,165
1329,44,71,199,428
1330,190,122,175,264
1331,177,114,125,218
1332,1,55,165,214
1333,40,110,284,390
1334,82,70,137,308
1335,90,69,120,287
1336,205,5,111,374
1337,75,121,156,324
1338,59,101,162,223
1339,128,136,287,113
1340,224,8,154,324
1341,86,90,188,404
1342,89,56,300,308
1343,69,88,351,170
1344,94,110,217,150
1345,161,24,149,277
1346,54,13,312,482
1347,103,91,287,213
1348,229,35,147,310
1349,47,89,219,201
1350,152,64,187,427
1351,62,64,169,406
1352,131,5,155,306
1353,127,20,176,470
1354,194,98,137,251
1355,89,122,356,127
1356,33,39,331,223
1357,73,106,347,219
1358,71,45,230,343
1359,146,123,143,314
1360,89,38,229,456
1361,16,133,261,347
